"breweryId","venueId","checkinId","breweryName","breweryLocation","breweryState","breweryLat","breweryLng"
11028,16837,606157851,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,17389,623194522,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,17389,630000863,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,17389,631907702,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,17389,626599716,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,17409,629763578,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,18204,621477114,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19662,633071784,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,629011914,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,629935015,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630071683,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630276792,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630550167,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,631986469,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,632141911,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,632956784,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630589334,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,633648969,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,632941836,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,632798288,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,631436726,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,629517783,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,628936986,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630539127,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,633758501,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,633422157,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,630172104,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,633412025,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,632964974,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,19708,633731947,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,21032,633154608,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,21105,632057655,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,21595,625707395,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,23263,631200506,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,23592,629407802,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,23592,630138701,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,25284,630226558,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,26438,633986661,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,26438,631345280,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,26438,632143090,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27335,632030967,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27498,631174523,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27608,526237462,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27789,632942886,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27789,632964132,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,27823,629882367,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,28406,464803217,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,28406,576394347,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,28406,578162544,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
11028,28406,578827683,"Deep Ellum Brewing Company","Dallas","TX",32.7809,-96.7813
